,X,CH1,CH2,I
371,-1.8857999999999998e-05,-0.019,25.3,-0.31199999999999994
372,-1.8855999999999997e-05,-0.021,25.3,-0.33999999999999997
373,-1.8854e-05,-0.017,25.3,-0.3559999999999999
374,-1.8852e-05,-0.015,25.3,-0.3559999999999999
375,-1.8849999999999997e-05,-0.017,25.1,-0.35999999999999993
376,-1.8848e-05,-0.015,25.3,-0.36
377,-1.8846e-05,-0.013,24.9,-0.3519999999999999
378,-1.8843999999999998e-05,-0.009,24.7,-0.3279999999999999
379,-1.8842e-05,-0.007,24.7,-0.30399999999999994
380,-1.884e-05,-0.005,24.5,-0.2759999999999999
381,-1.8837999999999998e-05,-0.003,24.3,-0.24399999999999994
382,-1.8835999999999997e-05,0.001,23.9,-0.19999999999999996
383,-1.8834e-05,0.003,23.9,-0.15999999999999995
384,-1.8832e-05,0.003,23.7,-0.12399999999999993
385,-1.8829999999999998e-05,0.007,23.5,-0.07599999999999993
386,-1.8828e-05,0.009,23.3,-0.027999999999999935
387,-1.8826e-05,0.011,23.3,0.020000000000000052
388,-1.8823999999999998e-05,0.011,23.3,0.06000000000000005
389,-1.8821999999999997e-05,0.011,22.9,0.09600000000000004
390,-1.882e-05,0.013,22.7,0.13200000000000003
391,-1.8818e-05,0.015,22.7,0.16800000000000004
392,-1.8815999999999997e-05,0.013,22.7,0.19200000000000003
393,-1.8814e-05,0.015,22.7,0.21600000000000003
394,-1.8812e-05,0.015,22.7,0.24000000000000005
395,-1.8809999999999998e-05,0.013,22.9,0.25200000000000006
396,-1.8808e-05,0.009,23.3,0.252
397,-1.8806e-05,0.007,23.3,0.24400000000000005
398,-1.8803999999999998e-05,0.007,23.3,0.23600000000000004
399,-1.8801999999999997e-05,0.005,23.5,0.22400000000000006
400,-1.88e-05,0.003,23.7,0.20400000000000001
401,-1.8798e-05,-0.001,23.7,0.17200000000000004
402,-1.8795999999999998e-05,-0.003,23.9,0.14000000000000004
403,-1.8794e-05,-0.003,24.1,0.10400000000000005
404,-1.8792e-05,-0.007,24.3,0.06000000000000004
405,-1.8789999999999998e-05,-0.009,24.5,0.016000000000000052
406,-1.8787999999999997e-05,-0.009,24.7,-0.01999999999999994
407,-1.8786e-05,-0.013,24.9,-0.05999999999999994
408,-1.8784e-05,-0.015,24.9,-0.10399999999999991
409,-1.8781999999999997e-05,-0.017,24.9,-0.14799999999999994
410,-1.878e-05,-0.017,24.9,-0.18799999999999994
411,-1.8778e-05,-0.015,25.1,-0.21599999999999991
412,-1.8775999999999998e-05,-0.019,25.1,-0.24799999999999994
413,-1.8774e-05,-0.019,25.3,-0.2799999999999999
414,-1.8772e-05,-0.015,25.1,-0.29599999999999993
415,-1.8769999999999998e-05,-0.015,25.1,-0.30799999999999994
416,-1.8767999999999997e-05,-0.015,25.1,-0.31999999999999995
417,-1.8766e-05,-0.013,24.9,-0.31999999999999995
418,-1.8764e-05,-0.013,24.9,-0.31599999999999995
419,-1.8761999999999998e-05,-0.009,24.7,-0.29999999999999993
420,-1.876e-05,-0.011,24.7,-0.2879999999999999
421,-1.8758e-05,-0.007,24.5,-0.2719999999999999
422,-1.8755999999999998e-05,-0.003,24.3,-0.2399999999999999
423,-1.8753999999999997e-05,-0.001,24.3,-0.2039999999999999
424,-1.8752e-05,-0.001,24.1,-0.17599999999999993
425,-1.875e-05,0.003,23.7,-0.13999999999999993
426,-1.8747999999999997e-05,0.005,23.7,-0.09999999999999994
427,-1.8746e-05,0.005,23.7,-0.06399999999999992
428,-1.8744e-05,0.005,23.5,-0.027999999999999935
429,-1.8741999999999998e-05,0.007,23.3,0.0040000000000000565
430,-1.874e-05,0.009,23.3,0.04400000000000005
431,-1.8738e-05,0.009,23.3,0.07600000000000004
432,-1.8735999999999998e-05,0.009,23.3,0.10000000000000005
433,-1.8733999999999997e-05,0.011,22.9,0.12400000000000004
434,-1.8732e-05,0.011,22.9,0.14800000000000005
435,-1.873e-05,0.011,23.3,0.16400000000000003
436,-1.8727999999999998e-05,0.009,23.3,0.17200000000000004
437,-1.8726e-05,0.007,23.3,0.17600000000000002
438,-1.8724e-05,0.007,23.3,0.18000000000000002
439,-1.8721999999999998e-05,0.007,23.5,0.18000000000000002
440,-1.8719999999999997e-05,0.003,23.5,0.16800000000000004
441,-1.8718e-05,0.003,23.5,0.15600000000000006
442,-1.8716e-05,0.001,23.7,0.14000000000000007
