,X,CH1,CH2,I
487,1.2474e-05,-0.008,17.6,-0.16
488,1.2476e-05,-0.008,17.6,-0.16
489,1.2478e-05,-0.016,18.4,-0.32
490,1.248e-05,-0.008,18.4,-0.16
491,1.2482e-05,-0.008,18.4,-0.16
492,1.2484e-05,-0.008,18.4,-0.16
493,1.2486e-05,-0.008,18.4,-0.16
494,1.2488e-05,-0.008,18.4,-0.16
495,1.249e-05,-0.008,18.4,-0.16
496,1.2492e-05,-0.008,18.4,-0.16
497,1.2494e-05,-0.008,19.2,-0.16
498,1.2496e-05,-0.008,18.4,-0.16
499,1.2498e-05,-0.008,19.2,-0.16
500,1.25e-05,-0.008,19.2,-0.16
501,1.2502e-05,-0.008,19.2,-0.16
502,1.2504000000000001e-05,-0.008,19.2,-0.16
503,1.2506e-05,-0.008,19.2,-0.16
504,1.2508e-05,-0.008,19.2,-0.16
505,1.251e-05,-0.008,19.2,-0.16
506,1.2512e-05,-0.008,19.2,-0.16
507,1.2514e-05,-0.008,20.0,-0.16
508,1.2516e-05,-0.008,20.0,-0.16
509,1.2518e-05,-0.008,20.0,-0.16
510,1.252e-05,-0.008,20.0,-0.16
511,1.2522e-05,-0.008,20.0,-0.16
512,1.2524e-05,-0.008,20.0,-0.16
513,1.2526e-05,-0.008,20.0,-0.16
514,1.2528e-05,-0.016,20.0,-0.32
515,1.253e-05,-0.008,20.0,-0.16
516,1.2532e-05,-0.008,20.8,-0.16
517,1.2534e-05,-0.008,20.8,-0.16
518,1.2536e-05,-0.008,20.8,-0.16
519,1.2538000000000001e-05,-0.008,20.8,-0.16
520,1.254e-05,-0.008,20.8,-0.16
521,1.2542e-05,-0.008,20.8,-0.16
522,1.2544e-05,-0.008,20.8,-0.16
523,1.2546e-05,-0.008,20.8,-0.16
524,1.2547999999999999e-05,-0.008,20.8,-0.16
525,1.255e-05,-0.008,21.6,-0.16
526,1.2552e-05,-0.008,21.6,-0.16
527,1.2554e-05,-0.008,21.6,-0.16
528,1.2556e-05,-0.008,21.6,-0.16
529,1.2558e-05,-0.008,21.6,-0.16
530,1.256e-05,-0.008,21.6,-0.16
531,1.2562e-05,-0.008,21.6,-0.16
